B,Ca43,Cd,Co,Cu,Fe,K,Li,Mg,Mn,Mo,Na,P,Rb,S,Sr,Zn
31.88623166,13947.82604,0.018953481,0.170808425,14.40447325,123.5851769,12501.86753,3.969689825,4845.446765,44.00830319,1.566924115,257.7245303,6960.04481,56.55677367,6260.356342,30.87636128,17.37069144
27.50590635,19868.28058,0.039806853,0.192853876,12.69678624,102.5628544,8218.440424,7.02903416,5152.168669,41.0681931,1.166204939,394.6475349,4709.575567,38.78484053,8150.331306,54.46103239,15.32592138
14.69570058,18393.04977,0.032526266,0.113266691,9.260816201,97.06137247,8838.234329,5.434385441,5260.672247,40.88063807,0.9290714,418.9105595,4943.629142,38.5616168,4368.323606,54.04532566,9.897509869
35.24291681,11265.89252,0.028560188,0.140375451,10.79397529,71.85975611,6861.168363,3.136185995,4001.585486,33.58782454,0.906089422,243.0028638,4646.03554,40.00668024,3983.354951,22.85561226,15.07399342
31.22641779,10176.38174,0.011832921,0.142116605,7.950523212,68.93371518,6980.980829,3.085925675,4041.468659,30.39213248,0.871865561,163.3808486,4407.492645,41.52365527,2730.811219,20.52101636,14.27201798
19.85685585,14015.14418,0.013103322,0.1416108,9.251993155,82.98783969,10643.93171,5.170059196,4294.635921,38.65186042,1.260455725,203.3069427,4230.807003,48.90812431,5691.313083,34.78117283,13.40809235
23.39951765,14946.63856,0.025376451,0.161731488,14.37932769,124.5999964,15109.24121,6.515443115,5247.404163,43.1218582,1.52514631,670.0996483,6268.779799,56.72173138,4922.559688,36.98482622,18.25930581
13.65521839,12718.90499,0.024193229,0.121433986,11.01572043,91.19701307,11850.58265,3.960136181,4524.865773,33.56085358,1.085805468,241.0662047,5491.967014,62.11397825,5765.569628,28.25632435,16.31744526
26.34448258,21390.27724,0.023423647,0.125711733,10.85593346,100.4161503,13024.77294,6.296510603,6387.059631,39.75343079,1.411155836,1044.030673,6540.823637,44.42406252,5928.459282,62.43017739,13.65569629
24.26936811,13396.03826,0.018767446,0.107334163,10.82758371,90.81778698,10825.81518,3.442002654,4445.034088,33.32262624,1.085002894,285.8727895,5322.224584,57.4198557,5451.740959,30.57746675,16.94575923
18.36465409,14224.75776,0.02043262,0.193918249,13.62798429,128.1308974,14898.63078,4.596555043,4337.407092,43.74491374,1.596182119,323.3405633,6947.731522,76.18956119,7373.581934,34.74308807,17.84046941
20.90873252,15483.04345,0.039588044,0.107374179,10.37304551,92.48389511,7178.938623,4.457401148,4852.854695,36.35944977,1.126515777,239.7965236,5300.099677,36.72660412,4694.394209,41.41865393,10.06579768
27.26733348,10009.85501,0.03415502,0.142423652,9.720286396,87.73653744,7272.598948,3.168273778,3754.4508,31.93396679,0.936178982,179.6235555,4898.265724,43.70086665,3984.123989,20.86174958,18.1583619
16.5326728,26892.45549,0.03466107,0.112959206,10.68214545,107.6624534,8971.210296,6.591499696,5671.344273,44.10625245,1.025803044,638.3991672,5256.56504,37.82371446,7539.36828,84.56765652,13.29341615
20.43946605,35224.2214,0.05030737,0.143266314,10.55639867,113.2530541,10418.84363,13.44630826,6081.015265,66.063577,0.928084842,1229.018428,6087.863075,41.73419158,7815.277642,106.9822562,7.886980788
21.83821724,18208.72356,0.054239302,0.213556177,14.30627536,92.52856953,8345.895533,7.715934751,5245.364018,44.56335953,1.174454809,353.1804656,4886.181052,39.64571626,6343.516144,52.23421133,12.6782087
23.35319266,21407.91138,0.026390442,0.099851401,10.79904849,96.38852207,10126.30847,6.875005029,6485.010798,47.26665349,1.230189907,666.7909043,6865.942741,43.40338906,5340.526521,67.8332605,13.2311829
